Ingredient ID,Ingredient,Category,Purchase Size,Purchase Unit,Purchase Cost,Cost Per Recipe Unit,Recipe Unit,Supplier,Last Updated,Notes
FRZ-BANANAS,Bananas,Frozen Fruit,20,lbs,$28.82,$0.0901,oz,,07-09-2026,
FRZ-BLUEBERRIES,Blueberries,Frozen Fruit,30,lbs,$87.45,$0.1822,oz,,07-09-2026,
FRZ-STRAWBERRIES,Strawberries,Frozen Fruit,30,lbs,$68.38,$0.1425,oz,,07-09-2026,
FSH-BLUEBERRIES,Blueberries,Fresh Fruit,18,oz,$4.79,$0.2661,oz,,07-09-2026,
FSH-BANANAS,Bananas,Fresh Fruit,3,lbs,$1.49,$0.0310,oz,,07-09-2026,
PWD-VANILLA_PROTEIN,Vanilla Protein,Powder,2.03,lbs,$29.59,$0.9110,oz,,07-12-2026,
PWD-COFFEE_PROTEIN,Coffee Protein,Powder,2.03,lbs,$22.60,$0.6958,oz,,07-12-2026,
PWD-ACAI,Acai,Powder,4,oz,$16.65,$4.1625,oz,,07-12-2026,
PWD-PB2,PB2,Powder,2,lbs,$17.94,$0.5606,oz,,07-12-2026,
PWD-POWER_TEA_FLAVORS,Power Tea Flavors,Powder,36,oz,$44.00,$1.2222,oz,,07-12-2026,representative flavor
PWD-ZIPFIZZ,Zipfizz,Powder,20,each,$21.58,$1.0790,each,,07-13-2026,representative flavor
MLK-OAT_MILK,Oat Milk,Milk,384,fl oz,$32.93,$0.0858,fl oz,,07-09-2026,
MLK-ALMOND_MILK,Almond Milk,Milk,384,fl oz,$36.99,$0.0963,fl oz,,07-09-2026,
PRP-COCONUT_CUBES,Coconut Cubes,Prepared Ingredient,14,cubes,$2.03,$0.1450,cube,,07-12-2026,1 carton = 14 cubes
EXT-VANILLA_EXTRACT,Vanilla Extract,Extract,946,ml,$8.99,$0.0095,ml,,07-12-2026,
SWT-HONEY,Honey,Sweetener,2.5,lbs,$8.49,$0.2123,oz,,07-12-2026,
SWT-AGAVE,Agave,Sweetener,44,oz,$9.79,$0.2225,oz,,07-12-2026,
BEV-COLD_BREW,Cold Brew,Beverage Base,192,fl oz,$23.99,$0.1249,fl oz,,07-12-2026,
BEV-ICED_TEA,Iced Tea,Beverage Base,132,bags,$20.95,$0.0094,fl oz,,07-12-2026,
SPR-PEANUT_BUTTER,Peanut Butter,Spread,30,lbs,$77.95,$0.1624,oz,,07-16-2026,
SPR-NUTELLA,Nutella,Spread,13.2,lbs,$70.89,$0.3357,oz,,07-16-2026,
TOP-CACAO_NIBS,Cacao Nibs,Topping,32,oz,$37.99,$1.1872,oz,,07-16-2026,
TOP-GRANOLA,Granola,Topping,200,oz,$84.95,$0.4248,oz,,07-16-2026,
PKG-16OZ_ACAI_BOWL,16oz Acai Bowl,Packaging,500,each,$117.24,$0.2345,each,,07-14-2026,
PKG-16OZ_ACAI_BOWL_LID,16oz Acai Bowl Lid,Packaging,500,each,$74.96,$0.1499,each,,07-14-2026,
PKG-20OZ_BRANDED_CUP,20oz Branded Cup,Packaging,1000,each,$295.82,$0.2958,each,,07-14-2026,"Smoothie, 29 cents each"
PKG-20OZ_LID,20oz Lid,Packaging,1000,each,$33.36,$0.0334,each,,07-14-2026,"Smoothie, 3 cents each"
PKG-32OZ_BRANDED_CUP,32oz Branded Cup,Packaging,1000,each,$420.82,$0.4208,each,,07-14-2026,Energy
PKG-32OZ_LID,32oz Lid,Packaging,500,each,$27.97,$0.0559,each,,07-14-2026,Energy
PKG-SMOOTHIE_STRAW,Smoothie Straw,Packaging,2000,each,$44.30,$0.0222,each,,07-12-2026,
PKG-POWER_TEA_STRAW,Power Tea Straw,Packaging,1600,each,$38.96,$0.0244,each,,07-12-2026,
PKG-SPOON,Spoon,Packaging,1000,each,$22.32,$0.0223,each,,07-14-2026,
