Ingredient,Category,Purchase Size,Purchase Unit,Purchase Cost,Cost Per Recipe Unit,Recipe Unit,Supplier,Last Updated,Notes
Bananas,Frozen Fruit,20,lbs,$28.82,$0.0901,oz,Sysco,07-09-2026,
Blueberries,Frozen Fruit,30,lbs,$87.45,$0.1822,oz,Sysco,07-09-2026,
Mangoes,Frozen Fruit,20,lbs,$43.23,$0.1351,oz,Sysco,07-09-2026,
Pineapple,Frozen Fruit,20,lbs,$49.39,$0.1543,oz,Sysco,07-09-2026,
Grapes,Frozen Fruit,3,lbs,$6.99,$0.1456,oz,BJs,07-09-2026,
Strawberries,Frozen Fruit,30,lbs,$68.38,$0.1425,oz,Sysco,07-09-2026,
Apples,Frozen Fruit,30,lbs,$61.95,$0.1291,oz,Sysco,07-09-2026,
Blueberries,Fresh Fruit,18,oz,$4.79,$0.2661,oz,BJs,07-09-2026,
Strawberries,Fresh Fruit,2,lbs,$4.69,$0.1466,oz,BJs,07-09-2026,
Bananas,Fresh Fruit,3,lbs,$1.49,$0.0310,oz,BJs,07-09-2026,
Dates,Fresh Fruit,2.5,lbs,$8.99,$0.2248,oz,BJs,07-09-2026,
Chocolate Protein,Powder,2.03,lbs,$26.83,$0.8260,oz,Amazon,07-12-2026,
Vanilla Protein,Powder,2.03,lbs,$29.59,$0.9110,oz,Amazon,07-12-2026,
Coffee Protein,Powder,2.03,lbs,$22.60,$0.6958,oz,Amazon,07-12-2026,
Collagen,Powder,,,,,,,,
Matcha,Powder,,,,,,,,
Spirulina,Powder,,,,,,,,
Acai,Powder,4,oz,$16.65,$4.1625,oz,,,
Cacao Powder,Powder,,,,,,,,
PB2,Powder,2,lbs,$17.94,$0.5606,oz,Amazon,07-12-2026,
Power Tea Flavors,Powder,36,oz,$44.00,$1.2222,oz,Gram Zero,07-12-2026,representative flavor
Zipfizz,Powder,20,each,$21.58,$1.0790,each,Amazon,07-13-2026,representative flavor
Oat Milk,Milk,384,fl oz,$32.93,$0.0858,fl oz,Sysco,,
Almond Milk,Milk,384,fl oz,$36.99,$0.0963,fl oz,Sysco,,
Coconut Milk,Milk,384,fl oz,$36.99,$0.0963,fl oz,Sysco,,
Whole Milk,Milk,,,,,,BJs,,
Skim Milk,Milk,,,,,,BJs,,
Coconut Cubes,Prepared Ingredient,14,cubes,$2.03,$0.1450,cube,Amazon,07-12-2026,1 carton = 14 cubes
Creamer,Cream,,,,,,Sysco,,
Coconut Cream,Cream,,,,,,Amazon,,
Coconut Whipped Cream,Cream,,,,,,,,
Cold Foam Cream,Cream,,,,,,Sysco,,
Vanilla Extract,Extract,946,ml,$8.99,$0.0095,ml,Amazon,07-12-2026,
Coconut Extract,Extract,,,,,,,,
Mint Extract,Extract,,,,,,,,
Honey,Sweetener,2.5,lbs,$8.49,$0.2123,oz,BJs,07-12-2026,
Agave,Sweetener,44,oz,$9.79,$0.2225,oz,BJs,07-12-2026,
Maple Syrup,Sweetener,,,,,,,,
Brown Sugar,Sweetener,,,,,,,,
Sugar,Sweetener,,,,,,,,
Raspberry Drizzle,Drizzle,,,,,,,,
White Chocolate,Syrup,,,,,,,,
Pure Cane,Syrup,,,,,,,,
Chocolate Sauce,Syrup,,,,,,,,
Caramel Sauce,Syrup,,,,,,,,
White Chocolate Sauce,Syrup,,,,,,,,
Vanilla,Syrup,,,,,,,,
Hazelnut,Syrup,,,,,,,,
