Ingredient,Category,Purchase Size,Purchase Unit,Purchase Cost,Cost Per Recipe Unit,Recipe Unit,Supplier,Last Updated,Notes
Bananas,Frozen Fruit,20,lbs,$28.82,$0.0901,oz,Sysco,07-09-2026,
Blueberries,Frozen Fruit,30,lbs,$87.45,$0.1822,oz,Sysco,07-09-2026,
Mangoes,Frozen Fruit,20,lbs,$43.23,$0.1351,oz,Sysco,07-09-2026,
Pineapple,Frozen Fruit,20,lbs,$49.39,$0.1543,oz,Sysco,07-09-2026,
Grapes,Frozen Fruit,3,lbs,$6.99,$0.1456,oz,BJs,07-09-2026,
Strawberries,Frozen Fruit,30,lbs,$68.38,$0.1425,oz,Sysco,07-09-2026,
Apples,Frozen Fruit,30,lbs,$61.95,$0.1291,oz,Sysco,07-09-2026,
Blueberries,Fresh Fruit,18,oz,$4.79,$0.2661,oz,BJs,07-09-2026,
Strawberries,Fresh Fruit,2,lbs,$4.69,$0.1466,oz,BJs,07-09-2026,
Bananas,Fresh Fruit,3,lbs,$1.49,$0.0310,oz,BJs,07-09-2026,
Dates,Fresh Fruit,2.5,lbs,$8.99,$0.2248,oz,BJs,07-09-2026,
Chocolate Protein,Powder,2.03,lbs,$26.83,$0.8260,oz,Amazon,07-12-2026,
Vanilla Protein,Powder,2.03,lbs,$29.59,$0.9110,oz,Amazon,07-12-2026,
Coffee Protein,Powder,2.03,lbs,$22.60,$0.6958,oz,Amazon,07-12-2026,
Acai,Powder,4,oz,$16.65,$4.1625,oz,Amazon,07-13-2026,maybe amazon?
PB2,Powder,2,lbs,$17.94,$0.5606,oz,Amazon,07-12-2026,
Power Tea Flavors,Powder,36,oz,$44.00,$1.2222,oz,Gram Zero,07-12-2026,representative flavor
Zipfizz,Powder,20,each,$21.58,$1.0790,each,Amazon,07-13-2026,representative flavor
Oat Milk,Milk,384,fl oz,$32.93,$0.0858,fl oz,Sysco,07-13-2026,
Almond Milk,Milk,384,fl oz,$36.99,$0.0963,fl oz,Sysco,07-13-2026,
Coconut Milk,Milk,384,fl oz,$36.99,$0.0963,fl oz,Sysco,07-13-2026,
Coconut Cubes,Prepared Ingredient,14,cubes,$2.03,$0.1450,cube,Amazon,07-12-2026,1 carton = 14 cubes
Vanilla Extract,Extract,946,ml,$8.99,$0.0095,ml,Amazon,07-12-2026,
Honey,Sweetener,2.5,lbs,$8.49,$0.2123,oz,BJs,07-12-2026,
Agave,Sweetener,44,oz,$9.79,$0.2225,oz,BJs,07-12-2026,
Cold Brew,Beverage Base,192,fl oz,$23.99,$0.1249,fl oz,Amazon,07-12-2026,
Iced Tea,Beverage Base,132,bags,$20.95,$0.0094,fl oz,Amazon,07-12-2026,
Peanut Butter,Spread,30,lbs,$77.95,$0.1624,oz,Sysco,07-13-2026,
Nutella,Spread,13.2,lbs,$70.89,$0.3357,oz,Sysco,07-13-2026,
Cacao Nibs,Topping,32,oz,$37.99,$1.1872,oz,Amazon,07-16-2026,
Granola,Topping,200,oz,$84.95,$0.4248,oz,Sysco,07-16-2026,
16oz Acai Bowl,Packaging,500,each,$117.24,$0.2345,each,Imperial Dade,07-14-2026,
16oz Acai Bowl Lid,Packaging,500,each,$74.96,$0.1499,each,Imperial Dade,07-14-2026,
20oz Branded Cup,Packaging,1000,each,$295.82,$0.2958,each,Your Brand Cafe,07-14-2026,"Smoothie, 29 cents each"
20oz Lid,Packaging,1000,each,$33.36,$0.0334,each,Your Brand Cafe,07-14-2026,"Smoothie, 3 cents each"
32oz Branded Cup,Packaging,1000,each,$420.82,$0.4208,each,Your Brand Cafe,07-14-2026,Energy
32oz Lid,Packaging,500,each,$27.97,$0.0559,each,Your Brand Cafe,07-13-2026,Energy
Smoothie Straw,Packaging,2000,each,$44.30,$0.0222,each,Amazon,07-12-2026,
Power Tea Straw,Packaging,1600,each,$38.96,$0.0244,each,Amazon,07-12-2026,
Spoon,Packaging,1000,each,$22.32,$0.0223,each,Sysco,07-14-2026,
