Menu Item,Ingredient ID,Ingredient,Ingredient Category,Amount Used,Recipe Unit,Notes
Peanut Butter Banana,MLK-OAT_MILK,Oat Milk,Milk,10,fl oz,
Peanut Butter Banana,PWD-VANILLA_PROTEIN,Vanilla Protein,Powder,0.8,oz,1 scoop
Peanut Butter Banana,PWD-PB2,PB2,Powder,0.41,oz,1 scoop
Peanut Butter Banana,SPR-PEANUT_BUTTER,Peanut Butter,Spread,1,oz,1 scoop
Peanut Butter Banana,EXT-VANILLA_EXTRACT,Vanilla Extract,Extract,1.5,ml,
Peanut Butter Banana,SWT-HONEY,Honey,Sweetener,0.5,oz,2 circles
Peanut Butter Banana,FRZ-BANANAS,Bananas,Frozen Fruit,4.8,oz,2/3 beaker
Peanut Butter Banana,PRP-COCONUT_CUBES,Coconut Cubes,Prepared Ingredient,3,cubes,
Peanut Butter Banana,PKG-20OZ_BRANDED_CUP,20oz Branded Cup,Packaging,1,each,
Peanut Butter Banana,PKG-20OZ_LID,20oz Lid,Packaging,1,each,
Peanut Butter Banana,PKG-SMOOTHIE_STRAW,Smoothie Straw,Packaging,1,each,
Cold Brew Bliss,BEV-COLD_BREW,Cold Brew,Beverage Base,6,fl oz,
Cold Brew Bliss,MLK-ALMOND_MILK,Almond Milk,Milk,4,fl oz,
Cold Brew Bliss,PWD-COFFEE_PROTEIN,Coffee Protein,Powder,0.8,oz,1 scoop
Cold Brew Bliss,PWD-PB2,PB2,Powder,0.41,oz,1 scoop
Cold Brew Bliss,TOP-CACAO_NIBS,Cacao Nibs,Topping,0.6,oz,1 scoop
Cold Brew Bliss,SPR-PEANUT_BUTTER,Peanut Butter,Spread,1,oz,1 scoop (corrected from 0.6 - sheet error)
Cold Brew Bliss,FRZ-BANANAS,Bananas,Frozen Fruit,3.6,oz,1/2 beaker
Cold Brew Bliss,PRP-COCONUT_CUBES,Coconut Cubes,Prepared Ingredient,5,cubes,
Cold Brew Bliss,PKG-20OZ_BRANDED_CUP,20oz Branded Cup,Packaging,1,each,
Cold Brew Bliss,PKG-20OZ_LID,20oz Lid,Packaging,1,each,
Cold Brew Bliss,PKG-SMOOTHIE_STRAW,Smoothie Straw,Packaging,1,each,
Shark Bite,PRP-BREWED_TEA,Brewed Tea,Prepared Ingredient,3,fl oz,
Shark Bite,PWD-ZIPFIZZ,Zipfizz,Powder,1,each,
Shark Bite,PWD-POWER_TEA_FLAVORS,Power Tea Flavors,Powder,0.3,oz,
Shark Bite,PKG-32OZ_BRANDED_CUP,32oz Branded Cup,Packaging,1,each,
Shark Bite,PKG-32OZ_LID,32oz Lid,Packaging,1,each,
Shark Bite,PKG-POWER_TEA_STRAW,Power Tea Straw,Packaging,1,each,
Acai Mixed Berry Bowl,MLK-OAT_MILK,Oat Milk,Milk,4,fl oz,
Acai Mixed Berry Bowl,FRZ-STRAWBERRIES,Strawberries,Frozen Fruit,2.7,oz,1/3 beaker
Acai Mixed Berry Bowl,FRZ-BLUEBERRIES,Blueberries,Frozen Fruit,2.8,oz,1/3 beaker
Acai Mixed Berry Bowl,PWD-VANILLA_PROTEIN,Vanilla Protein,Powder,0.8,oz,
Acai Mixed Berry Bowl,PWD-ACAI,Acai,Powder,0.1,oz,
Acai Mixed Berry Bowl,SWT-AGAVE,Agave,Sweetener,0.5,oz,
Acai Mixed Berry Bowl,TOP-GRANOLA,Granola,Topping,2.2,oz,4 scoops
Acai Mixed Berry Bowl,PKG-16OZ_ACAI_BOWL,16oz Acai Bowl,Packaging,1,each,
Acai Mixed Berry Bowl,PKG-16OZ_ACAI_BOWL_LID,16oz Acai Bowl Lid,Packaging,1,each,
Acai Mixed Berry Bowl,PKG-SPOON,Spoon,Packaging,1,each,
Blueberry Shortcake,MLK-OAT_MILK,Oat Milk,Milk,10.0,fl oz,
Blueberry Shortcake,PWD-VANILLA_PROTEIN,Vanilla Protein,Powder,0.8,oz,1 scoop
Blueberry Shortcake,NUT-WALNUTS,Walnuts,Nuts and Seeds,0.98,oz,2 scoops @ 29.6 ml
Blueberry Shortcake,EXT-VANILLA_EXTRACT,Vanilla Extract,Extract,1.0,ml,2 full droppers
Blueberry Shortcake,SWT-HONEY,Honey,Sweetener,0.5,oz,2 circles
Blueberry Shortcake,FRZ-BANANAS,Bananas,Frozen Fruit,3.6,oz,1/2 beaker
Blueberry Shortcake,FRZ-BLUEBERRIES,Blueberries,Frozen Fruit,4.25,oz,1/2 beaker
Blueberry Shortcake,YOG-COCONUT_YOGURT,Coconut Yogurt,Yogurt,1.0,oz,EST - 4 stripes inside cup
Blueberry Shortcake,PKG-20OZ_BRANDED_CUP,20oz Branded Cup,Packaging,1.0,each,
Blueberry Shortcake,PKG-20OZ_LID,20oz Lid,Packaging,1.0,each,
Blueberry Shortcake,PKG-SMOOTHIE_STRAW,Smoothie Straw,Packaging,1.0,each,
Chocolate Peanut Butter,MLK-OAT_MILK,Oat Milk,Milk,10.0,fl oz,
Chocolate Peanut Butter,PWD-CHOCOLATE_PROTEIN,Chocolate Protein,Powder,0.8,oz,1 scoop
Chocolate Peanut Butter,PWD-PB2,PB2,Powder,0.41,oz,1 scoop
Chocolate Peanut Butter,PWD-CACAO_POWDER,Cacao Powder,Powder,0.14,oz,2 scoops @ 1/3 tbsp
Chocolate Peanut Butter,EXT-VANILLA_EXTRACT,Vanilla Extract,Extract,1.0,ml,2 full droppers
Chocolate Peanut Butter,SPR-PEANUT_BUTTER,Peanut Butter,Spread,1.0,oz,1 scoop
